request_kind,case_id,rank,run_count,max_error_min,max_error_max,max_error_mean,max_error_std,max_error_range
representative,structured-structeval-03,6,5,0.014659060246014766,0.03597723661210739,0.02744996606567034,0.01167644608058244,0.021318176366092623
representative,structured-structeval-04,7,5,0.008427313636447886,0.018298303777103342,0.01176217362099321,0.004060137827186017,0.009870990140655456
representative,structured-structeval-05,0,5,0.016122470951081103,0.029259702689735656,0.021377363646542923,0.007195558166433912,0.013137231738654553
representative,structured-structeval-06,1,5,0.03811646768629681,0.04335855962702864,0.03916488607444318,0.002344334784756034,0.00524209194073183
representative,structured-structeval-07,2,5,0.00625329050288026,0.014010106092061936,0.011513017707349266,0.003040306981432547,0.007756815589181676
representative,structured-structeval-08,3,5,0.014554439010881104,0.03986467838770669,0.023699400443723817,0.009907397453283532,0.025310239376825583
representative,structured-structeval-09,4,5,0.03885084345893364,0.058086942389799945,0.04935849629999887,0.009650009934192611,0.019236098930866308
representative,structured-structeval-10,5,5,0.003386671524767723,0.019206028426380084,0.007701397196422727,0.0065008217107417055,0.01581935690161236
representative,tool-atlas-01,2,5,0.02089698985256433,0.028615969206290073,0.023375801793864816,0.0033466618978589624,0.007718979353725744
representative,tool-atlas-02,3,5,0.01514175326923349,0.026107524747334007,0.017642696504974312,0.004738879522399182,0.010965771478100517
representative,tool-atlas-03,4,5,0.03956979337711862,0.04623131680478386,0.04483314060021818,0.002942684560514496,0.006661523427665239
representative,tool-atlas-04,5,5,0.010358091447309169,0.03511654158214428,0.01921213985973946,0.011605106843751106,0.02475845013483511
representative,tool-atlas-05,6,5,0.0150401608572647,0.022256862258400345,0.01909000455359659,0.0037409591156322398,0.0072167014011356445
representative,tool-atlas-06,7,5,0.010684451430748879,0.016878995044914885,0.012747794926003062,0.002864974543265241,0.0061945436141660065
representative,tool-atlas-07,6,5,0.031394051404703305,0.05307249245154744,0.04296928802056329,0.009715906970967036,0.021678441046844132
representative,tool-atlas-08,7,5,0.0034568592706822054,0.015304100783424368,0.010416472676679842,0.004623754563724048,0.011847241512742163
sentinel,knowledge-longbench-02,0,5,0.009418263815410666,0.0355558247418542,0.022239120157610738,0.01169795634600262,0.026137560926443537
sentinel,knowledge-longbench-02,1,5,0.027071481916199347,0.06970510419031078,0.053567673480919106,0.018252779619580873,0.04263362227411144
sentinel,knowledge-longbench-02,2,5,0.03511424929076856,0.07579689594776556,0.05969393310171983,0.016124143266294817,0.040682646656997
sentinel,knowledge-longbench-02,3,5,0.025150732398845688,0.09304992317242533,0.05313453481317844,0.032197686742005766,0.06789919077357964
sentinel,knowledge-longbench-02,4,5,0.044038733949922776,0.08231529906664298,0.0629288284883763,0.017795425108478636,0.0382765651167202
sentinel,knowledge-longbench-02,5,5,0.017062118462661813,0.04539109152401133,0.034690497090994234,0.011355654601529798,0.028328973061349516
sentinel,knowledge-longbench-02,6,5,0.018087375149153956,0.0814886664431606,0.04717402552776563,0.025687628804137087,0.06340129129400665
sentinel,knowledge-longbench-02,7,5,0.024577472951834545,0.07604531056313579,0.04001992866079198,0.021088327956824138,0.05146783761130125
