source,artifact_path,sample_file,sample_group,file_count,rows
nemotron_sft/sft_math,gs://marin-us-central2/normalized-chat/nemotron_pretraining_sft_v1/sft_math_b91a023b,marin-us-central2/normalized-chat/nemotron_pretraining_sft_v1/sft_math_b91a023b/outputs/main/part-00260-of-00424.parquet,10,424,10
nemotron_sft_v3/agentic_v1/interactive_agent,gs://marin-us-central2/normalized-chat/nemotron_sft_v3/agentic_v1/interactive_agent_253e0919,marin-us-central2/normalized-chat/nemotron_sft_v3/agentic_v1/interactive_agent_253e0919/outputs/main/part-00000-of-00001.parquet,1,1,10
nemotron_sft_v3/agentic_v1/tool_calling,gs://marin-us-central2/normalized-chat/nemotron_sft_v3/agentic_v1/tool_calling_8e041cbc,marin-us-central2/normalized-chat/nemotron_sft_v3/agentic_v1/tool_calling_8e041cbc/outputs/main/part-00001-of-00003.parquet,3,3,10
nemotron_sft_v3/agentic_v2/interactive_agent,gs://marin-us-central2/normalized-chat/nemotron_sft_v3/agentic_v2/interactive_agent_c20b2169,marin-us-central2/normalized-chat/nemotron_sft_v3/agentic_v2/interactive_agent_c20b2169/outputs/main/part-00002-of-00004.parquet,10,4,10
nemotron_sft_v3/agentic_v2/search,gs://marin-us-central2/normalized-chat/nemotron_sft_v3/agentic_v2/search_c9caa025,marin-us-central2/normalized-chat/nemotron_sft_v3/agentic_v2/search_c9caa025/outputs/main/part-00000-of-00001.parquet,6,1,10
nemotron_sft_v3/agentic_v2/tool_calling,gs://marin-us-central2/normalized-chat/nemotron_sft_v3/agentic_v2/tool_calling_f232658d,marin-us-central2/normalized-chat/nemotron_sft_v3/agentic_v2/tool_calling_f232658d/outputs/main/part-00000-of-00001.parquet,1,1,10
nemotron_sft_v3/arc_agi_v1/large_no_reasoning_no_tools,gs://marin-us-central2/normalized-chat/nemotron_sft_v3/arc_agi_v1/large_no_reasoning_no_tools_2bcd64c9,marin-us-central2/normalized-chat/nemotron_sft_v3/arc_agi_v1/large_no_reasoning_no_tools_2bcd64c9/outputs/main/part-00000-of-00001.parquet,0,1,10
nemotron_sft_v3/arc_agi_v1/large_reasoning_and_tools,gs://marin-us-central2/normalized-chat/nemotron_sft_v3/arc_agi_v1/large_reasoning_and_tools_65f4f1a9,marin-us-central2/normalized-chat/nemotron_sft_v3/arc_agi_v1/large_reasoning_and_tools_65f4f1a9/outputs/main/part-00000-of-00002.parquet,3,2,10
nemotron_sft_v3/arc_agi_v1/large_reasoning_no_tools,gs://marin-us-central2/normalized-chat/nemotron_sft_v3/arc_agi_v1/large_reasoning_no_tools_efddc9cd,marin-us-central2/normalized-chat/nemotron_sft_v3/arc_agi_v1/large_reasoning_no_tools_efddc9cd/outputs/main/part-00001-of-00006.parquet,10,6,10
nemotron_sft_v3/arc_agi_v1/large_tools_no_reasoning,gs://marin-us-central2/normalized-chat/nemotron_sft_v3/arc_agi_v1/large_tools_no_reasoning_04cdc5f3,marin-us-central2/normalized-chat/nemotron_sft_v3/arc_agi_v1/large_tools_no_reasoning_04cdc5f3/outputs/main/part-00000-of-00001.parquet,0,1,10
nemotron_sft_v3/arc_agi_v1/small_no_reasoning_no_tools,gs://marin-us-central2/normalized-chat/nemotron_sft_v3/arc_agi_v1/small_no_reasoning_no_tools_56a68785,marin-us-central2/normalized-chat/nemotron_sft_v3/arc_agi_v1/small_no_reasoning_no_tools_56a68785/outputs/main/part-00000-of-00001.parquet,0,1,10
nemotron_sft_v3/arc_agi_v1/small_reasoning_and_tools,gs://marin-us-central2/normalized-chat/nemotron_sft_v3/arc_agi_v1/small_reasoning_and_tools_3c102c07,marin-us-central2/normalized-chat/nemotron_sft_v3/arc_agi_v1/small_reasoning_and_tools_3c102c07/outputs/main/part-00000-of-00001.parquet,19,1,10
nemotron_sft_v3/arc_agi_v1/small_reasoning_no_tools,gs://marin-us-central2/normalized-chat/nemotron_sft_v3/arc_agi_v1/small_reasoning_no_tools_28f5e22d,marin-us-central2/normalized-chat/nemotron_sft_v3/arc_agi_v1/small_reasoning_no_tools_28f5e22d/outputs/main/part-00000-of-00003.parquet,4,3,10
nemotron_sft_v3/arc_agi_v1/small_tools_no_reasoning,gs://marin-us-central2/normalized-chat/nemotron_sft_v3/arc_agi_v1/small_tools_no_reasoning_e5485c32,marin-us-central2/normalized-chat/nemotron_sft_v3/arc_agi_v1/small_tools_no_reasoning_e5485c32/outputs/main/part-00000-of-00001.parquet,0,1,10
nemotron_sft_v3/competitive_programming_v2/competitive_coding_cpp,gs://marin-us-central2/normalized-chat/nemotron_sft_v3/competitive_programming_v2/competitive_coding_cpp_7e80f737,marin-us-central2/normalized-chat/nemotron_sft_v3/competitive_programming_v2/competitive_coding_cpp_7e80f737/outputs/main/part-00021-of-00050.parquet,13,50,10
nemotron_sft_v3/competitive_programming_v2/competitive_coding_python,gs://marin-us-central2/normalized-chat/nemotron_sft_v3/competitive_programming_v2/competitive_coding_python_0b77f814,marin-us-central2/normalized-chat/nemotron_sft_v3/competitive_programming_v2/competitive_coding_python_0b77f814/outputs/main/part-00038-of-00051.parquet,6,51,10
nemotron_sft_v3/competitive_programming_v2/exercism,gs://marin-us-central2/normalized-chat/nemotron_sft_v3/competitive_programming_v2/exercism_be29e75c,marin-us-central2/normalized-chat/nemotron_sft_v3/competitive_programming_v2/exercism_be29e75c/outputs/main/part-00000-of-00001.parquet,3,1,10
nemotron_sft_v3/competitive_programming_v2/text_to_sql,gs://marin-us-central2/normalized-chat/nemotron_sft_v3/competitive_programming_v2/text_to_sql_bbf0ad08,marin-us-central2/normalized-chat/nemotron_sft_v3/competitive_programming_v2/text_to_sql_bbf0ad08/outputs/main/part-00000-of-00001.parquet,16,1,10
nemotron_sft_v3/cuda_v1/train,gs://marin-us-central2/normalized-chat/nemotron_sft_v3/cuda_v1/train_0c86fd08,marin-us-central2/normalized-chat/nemotron_sft_v3/cuda_v1/train_0c86fd08/outputs/main/part-00000-of-00001.parquet,0,1,10
nemotron_sft_v3/finance_v1/train,gs://marin-us-central2/normalized-chat/nemotron_sft_v3/finance_v1/train_08785ab1,marin-us-central2/normalized-chat/nemotron_sft_v3/finance_v1/train_08785ab1/outputs/main/part-00022-of-00025.parquet,6,25,10
nemotron_sft_v3/instruction_following_chat_v2/reasoning_off,gs://marin-us-central2/normalized-chat/nemotron_sft_v3/instruction_following_chat_v2/reasoning_off_e4fcbd89,marin-us-central2/normalized-chat/nemotron_sft_v3/instruction_following_chat_v2/reasoning_off_e4fcbd89/outputs/main/part-00002-of-00007.parquet,6,7,10
nemotron_sft_v3/instruction_following_chat_v2/reasoning_on,gs://marin-us-central2/normalized-chat/nemotron_sft_v3/instruction_following_chat_v2/reasoning_on_6cc70978,marin-us-central2/normalized-chat/nemotron_sft_v3/instruction_following_chat_v2/reasoning_on_6cc70978/outputs/main/part-00009-of-00012.parquet,1,12,10
nemotron_sft_v3/instruction_following_chat_v3/chat,gs://marin-us-central2/normalized-chat/nemotron_sft_v3/instruction_following_chat_v3/chat_5634cbcc,marin-us-central2/normalized-chat/nemotron_sft_v3/instruction_following_chat_v3/chat_5634cbcc/outputs/main/part-00003-of-00010.parquet,5,10,10
nemotron_sft_v3/instruction_following_chat_v3/instruction_following,gs://marin-us-central2/normalized-chat/nemotron_sft_v3/instruction_following_chat_v3/instruction_following_4d9a4cc6,marin-us-central2/normalized-chat/nemotron_sft_v3/instruction_following_chat_v3/instruction_following_4d9a4cc6/outputs/main/part-00000-of-00003.parquet,1,3,10
nemotron_sft_v3/math_proofs_v1/lean,gs://marin-us-central2/normalized-chat/nemotron_sft_v3/math_proofs_v1/lean_6e1b282e,marin-us-central2/normalized-chat/nemotron_sft_v3/math_proofs_v1/lean_6e1b282e/outputs/main/part-00001-of-00013.parquet,25,13,10
nemotron_sft_v3/math_proofs_v2/train,gs://marin-us-central2/normalized-chat/nemotron_sft_v3/math_proofs_v2/train_d926229e,marin-us-central2/normalized-chat/nemotron_sft_v3/math_proofs_v2/train_d926229e/outputs/main/part-00007-of-00014.parquet,1,14,10
nemotron_sft_v3/math_v2/high,gs://marin-us-central2/normalized-chat/nemotron_sft_v3/math_v2/high_a6dc5367,marin-us-central2/normalized-chat/nemotron_sft_v3/math_v2/high_a6dc5367/outputs/main/part-00113-of-00118.parquet,4,118,10
nemotron_sft_v3/math_v2/low,gs://marin-us-central2/normalized-chat/nemotron_sft_v3/math_v2/low_be8855d1,marin-us-central2/normalized-chat/nemotron_sft_v3/math_v2/low_be8855d1/outputs/main/part-00003-of-00008.parquet,7,8,10
nemotron_sft_v3/math_v2/medium,gs://marin-us-central2/normalized-chat/nemotron_sft_v3/math_v2/medium_19831e1c,marin-us-central2/normalized-chat/nemotron_sft_v3/math_v2/medium_19831e1c/outputs/main/part-00010-of-00024.parquet,1,24,10
nemotron_sft_v3/math_v3/train,gs://marin-us-central2/normalized-chat/nemotron_sft_v3/math_v3/train_80323c41,marin-us-central2/normalized-chat/nemotron_sft_v3/math_v3/train_80323c41/outputs/main/part-00056-of-00158.parquet,2,158,10
nemotron_sft_v3/math_v4/train,gs://marin-us-central2/normalized-chat/nemotron_sft_v3/math_v4/train_35561a96,marin-us-central2/normalized-chat/nemotron_sft_v3/math_v4/train_35561a96/outputs/main/part-00007-of-00020.parquet,12,20,10
nemotron_sft_v3/multilingual_v1/code_de,gs://marin-us-central2/normalized-chat/nemotron_sft_v3/multilingual_v1/code_de_2e3113e3,marin-us-central2/normalized-chat/nemotron_sft_v3/multilingual_v1/code_de_2e3113e3/outputs/main/part-00000-of-00005.parquet,12,5,10
nemotron_sft_v3/multilingual_v1/code_es,gs://marin-us-central2/normalized-chat/nemotron_sft_v3/multilingual_v1/code_es_56d85c95,marin-us-central2/normalized-chat/nemotron_sft_v3/multilingual_v1/code_es_56d85c95/outputs/main/part-00004-of-00005.parquet,1,5,10
nemotron_sft_v3/multilingual_v1/code_fr,gs://marin-us-central2/normalized-chat/nemotron_sft_v3/multilingual_v1/code_fr_d8a5c2f3,marin-us-central2/normalized-chat/nemotron_sft_v3/multilingual_v1/code_fr_d8a5c2f3/outputs/main/part-00000-of-00005.parquet,15,5,10
nemotron_sft_v3/multilingual_v1/code_it,gs://marin-us-central2/normalized-chat/nemotron_sft_v3/multilingual_v1/code_it_492c71e6,marin-us-central2/normalized-chat/nemotron_sft_v3/multilingual_v1/code_it_492c71e6/outputs/main/part-00001-of-00006.parquet,7,6,10
nemotron_sft_v3/multilingual_v1/code_ja,gs://marin-us-central2/normalized-chat/nemotron_sft_v3/multilingual_v1/code_ja_319214b3,marin-us-central2/normalized-chat/nemotron_sft_v3/multilingual_v1/code_ja_319214b3/outputs/main/part-00002-of-00005.parquet,4,5,10
nemotron_sft_v3/multilingual_v1/code_zh,gs://marin-us-central2/normalized-chat/nemotron_sft_v3/multilingual_v1/code_zh_a0caa83f,marin-us-central2/normalized-chat/nemotron_sft_v3/multilingual_v1/code_zh_a0caa83f/outputs/main/part-00004-of-00006.parquet,6,6,10
nemotron_sft_v3/multilingual_v1/math_de,gs://marin-us-central2/normalized-chat/nemotron_sft_v3/multilingual_v1/math_de_4ddfb851,marin-us-central2/normalized-chat/nemotron_sft_v3/multilingual_v1/math_de_4ddfb851/outputs/main/part-00001-of-00008.parquet,5,8,10
nemotron_sft_v3/multilingual_v1/math_es,gs://marin-us-central2/normalized-chat/nemotron_sft_v3/multilingual_v1/math_es_a54ac2e1,marin-us-central2/normalized-chat/nemotron_sft_v3/multilingual_v1/math_es_a54ac2e1/outputs/main/part-00006-of-00007.parquet,0,7,10
nemotron_sft_v3/multilingual_v1/math_fr,gs://marin-us-central2/normalized-chat/nemotron_sft_v3/multilingual_v1/math_fr_2001f186,marin-us-central2/normalized-chat/nemotron_sft_v3/multilingual_v1/math_fr_2001f186/outputs/main/part-00001-of-00008.parquet,1,8,10
nemotron_sft_v3/multilingual_v1/math_it,gs://marin-us-central2/normalized-chat/nemotron_sft_v3/multilingual_v1/math_it_e39d6df4,marin-us-central2/normalized-chat/nemotron_sft_v3/multilingual_v1/math_it_e39d6df4/outputs/main/part-00004-of-00009.parquet,4,9,10
nemotron_sft_v3/multilingual_v1/math_ja,gs://marin-us-central2/normalized-chat/nemotron_sft_v3/multilingual_v1/math_ja_c92d7bc8,marin-us-central2/normalized-chat/nemotron_sft_v3/multilingual_v1/math_ja_c92d7bc8/outputs/main/part-00000-of-00006.parquet,2,6,10
nemotron_sft_v3/multilingual_v1/math_zh,gs://marin-us-central2/normalized-chat/nemotron_sft_v3/multilingual_v1/math_zh_7457e8d1,marin-us-central2/normalized-chat/nemotron_sft_v3/multilingual_v1/math_zh_7457e8d1/outputs/main/part-00005-of-00006.parquet,6,6,10
nemotron_sft_v3/multilingual_v1/stem_de,gs://marin-us-central2/normalized-chat/nemotron_sft_v3/multilingual_v1/stem_de_8576606d,marin-us-central2/normalized-chat/nemotron_sft_v3/multilingual_v1/stem_de_8576606d/outputs/main/part-00001-of-00002.parquet,7,2,10
nemotron_sft_v3/multilingual_v1/stem_es,gs://marin-us-central2/normalized-chat/nemotron_sft_v3/multilingual_v1/stem_es_a0f794b7,marin-us-central2/normalized-chat/nemotron_sft_v3/multilingual_v1/stem_es_a0f794b7/outputs/main/part-00001-of-00002.parquet,11,2,10
nemotron_sft_v3/multilingual_v1/stem_fr,gs://marin-us-central2/normalized-chat/nemotron_sft_v3/multilingual_v1/stem_fr_4cd3e17c,marin-us-central2/normalized-chat/nemotron_sft_v3/multilingual_v1/stem_fr_4cd3e17c/outputs/main/part-00000-of-00002.parquet,2,2,10
nemotron_sft_v3/multilingual_v1/stem_it,gs://marin-us-central2/normalized-chat/nemotron_sft_v3/multilingual_v1/stem_it_1b8a6567,marin-us-central2/normalized-chat/nemotron_sft_v3/multilingual_v1/stem_it_1b8a6567/outputs/main/part-00000-of-00002.parquet,18,2,10
nemotron_sft_v3/multilingual_v1/stem_ja,gs://marin-us-central2/normalized-chat/nemotron_sft_v3/multilingual_v1/stem_ja_39f84d53,marin-us-central2/normalized-chat/nemotron_sft_v3/multilingual_v1/stem_ja_39f84d53/outputs/main/part-00000-of-00002.parquet,14,2,10
nemotron_sft_v3/multilingual_v1/stem_zh,gs://marin-us-central2/normalized-chat/nemotron_sft_v3/multilingual_v1/stem_zh_ec5c9021,marin-us-central2/normalized-chat/nemotron_sft_v3/multilingual_v1/stem_zh_ec5c9021/outputs/main/part-00001-of-00002.parquet,14,2,10
nemotron_sft_v3/multilingual_v2/code_hi,gs://marin-us-central2/normalized-chat/nemotron_sft_v3/multilingual_v2/code_hi_9acf2595,marin-us-central2/normalized-chat/nemotron_sft_v3/multilingual_v2/code_hi_9acf2595/outputs/main/part-00000-of-00001.parquet,14,1,10
nemotron_sft_v3/multilingual_v2/code_ja,gs://marin-us-central2/normalized-chat/nemotron_sft_v3/multilingual_v2/code_ja_61a9c10f,marin-us-central2/normalized-chat/nemotron_sft_v3/multilingual_v2/code_ja_61a9c10f/outputs/main/part-00000-of-00001.parquet,18,1,10
nemotron_sft_v3/multilingual_v2/code_ko,gs://marin-us-central2/normalized-chat/nemotron_sft_v3/multilingual_v2/code_ko_941ab799,marin-us-central2/normalized-chat/nemotron_sft_v3/multilingual_v2/code_ko_941ab799/outputs/main/part-00000-of-00001.parquet,10,1,10
nemotron_sft_v3/multilingual_v2/code_pt,gs://marin-us-central2/normalized-chat/nemotron_sft_v3/multilingual_v2/code_pt_a96822c7,marin-us-central2/normalized-chat/nemotron_sft_v3/multilingual_v2/code_pt_a96822c7/outputs/main/part-00000-of-00001.parquet,16,1,10
nemotron_sft_v3/multilingual_v2/math_hi,gs://marin-us-central2/normalized-chat/nemotron_sft_v3/multilingual_v2/math_hi_3aef0ef4,marin-us-central2/normalized-chat/nemotron_sft_v3/multilingual_v2/math_hi_3aef0ef4/outputs/main/part-00000-of-00001.parquet,8,1,10
nemotron_sft_v3/multilingual_v2/math_ja,gs://marin-us-central2/normalized-chat/nemotron_sft_v3/multilingual_v2/math_ja_2d358ff4,marin-us-central2/normalized-chat/nemotron_sft_v3/multilingual_v2/math_ja_2d358ff4/outputs/main/part-00000-of-00002.parquet,1,2,10
nemotron_sft_v3/multilingual_v2/math_ko,gs://marin-us-central2/normalized-chat/nemotron_sft_v3/multilingual_v2/math_ko_bc1cbc03,marin-us-central2/normalized-chat/nemotron_sft_v3/multilingual_v2/math_ko_bc1cbc03/outputs/main/part-00000-of-00001.parquet,13,1,10
nemotron_sft_v3/multilingual_v2/math_pt,gs://marin-us-central2/normalized-chat/nemotron_sft_v3/multilingual_v2/math_pt_7721414a,marin-us-central2/normalized-chat/nemotron_sft_v3/multilingual_v2/math_pt_7721414a/outputs/main/part-00000-of-00001.parquet,4,1,10
nemotron_sft_v3/multilingual_v2/stem_hi,gs://marin-us-central2/normalized-chat/nemotron_sft_v3/multilingual_v2/stem_hi_6833beec,marin-us-central2/normalized-chat/nemotron_sft_v3/multilingual_v2/stem_hi_6833beec/outputs/main/part-00000-of-00001.parquet,0,1,10
nemotron_sft_v3/multilingual_v2/stem_ja,gs://marin-us-central2/normalized-chat/nemotron_sft_v3/multilingual_v2/stem_ja_6cdaf5c6,marin-us-central2/normalized-chat/nemotron_sft_v3/multilingual_v2/stem_ja_6cdaf5c6/outputs/main/part-00000-of-00001.parquet,0,1,10
nemotron_sft_v3/multilingual_v2/stem_ko,gs://marin-us-central2/normalized-chat/nemotron_sft_v3/multilingual_v2/stem_ko_85b9d9c2,marin-us-central2/normalized-chat/nemotron_sft_v3/multilingual_v2/stem_ko_85b9d9c2/outputs/main/part-00000-of-00001.parquet,0,1,10
nemotron_sft_v3/multilingual_v2/stem_pt,gs://marin-us-central2/normalized-chat/nemotron_sft_v3/multilingual_v2/stem_pt_260307e1,marin-us-central2/normalized-chat/nemotron_sft_v3/multilingual_v2/stem_pt_260307e1/outputs/main/part-00000-of-00001.parquet,3,1,10
nemotron_sft_v3/opencode_v1/agent_skills,gs://marin-us-central2/normalized-chat/nemotron_sft_v3/opencode_v1/agent_skills_50a8848a,marin-us-central2/normalized-chat/nemotron_sft_v3/opencode_v1/agent_skills_50a8848a/outputs/main/part-00000-of-00002.parquet,14,2,10
nemotron_sft_v3/opencode_v1/agent_skills_question_tool,gs://marin-us-central2/normalized-chat/nemotron_sft_v3/opencode_v1/agent_skills_question_tool_35841c7e,marin-us-central2/normalized-chat/nemotron_sft_v3/opencode_v1/agent_skills_question_tool_35841c7e/outputs/main/part-00000-of-00001.parquet,32,1,10
nemotron_sft_v3/opencode_v1/bash_only_tool,gs://marin-us-central2/normalized-chat/nemotron_sft_v3/opencode_v1/bash_only_tool_a60f2332,marin-us-central2/normalized-chat/nemotron_sft_v3/opencode_v1/bash_only_tool_a60f2332/outputs/main/part-00000-of-00001.parquet,67,1,10
nemotron_sft_v3/opencode_v1/bash_only_tool_skills,gs://marin-us-central2/normalized-chat/nemotron_sft_v3/opencode_v1/bash_only_tool_skills_968b0845,marin-us-central2/normalized-chat/nemotron_sft_v3/opencode_v1/bash_only_tool_skills_968b0845/outputs/main/part-00000-of-00001.parquet,25,1,10
nemotron_sft_v3/opencode_v1/general,gs://marin-us-central2/normalized-chat/nemotron_sft_v3/opencode_v1/general_c225042f,marin-us-central2/normalized-chat/nemotron_sft_v3/opencode_v1/general_c225042f/outputs/main/part-00000-of-00001.parquet,10,1,10
nemotron_sft_v3/opencode_v1/question_tool,gs://marin-us-central2/normalized-chat/nemotron_sft_v3/opencode_v1/question_tool_5a128923,marin-us-central2/normalized-chat/nemotron_sft_v3/opencode_v1/question_tool_5a128923/outputs/main/part-00000-of-00001.parquet,6,1,10
nemotron_sft_v3/safety_v1/train,gs://marin-us-central2/normalized-chat/nemotron_sft_v3/safety_v1/train_85ae8ee1,marin-us-central2/normalized-chat/nemotron_sft_v3/safety_v1/train_85ae8ee1/outputs/main/part-00000-of-00001.parquet,0,1,10
nemotron_sft_v3/safety_v2/train,gs://marin-us-central2/normalized-chat/nemotron_sft_v3/safety_v2/train_2fe5fded,marin-us-central2/normalized-chat/nemotron_sft_v3/safety_v2/train_2fe5fded/outputs/main/part-00000-of-00001.parquet,2,1,10
nemotron_sft_v3/science_v2/rqa,gs://marin-us-central2/normalized-chat/nemotron_sft_v3/science_v2/rqa_6635d862,marin-us-central2/normalized-chat/nemotron_sft_v3/science_v2/rqa_6635d862/outputs/main/part-00000-of-00001.parquet,3,1,10
nemotron_sft_v3/science_v2/so,gs://marin-us-central2/normalized-chat/nemotron_sft_v3/science_v2/so_77d58e24,marin-us-central2/normalized-chat/nemotron_sft_v3/science_v2/so_77d58e24/outputs/main/part-00000-of-00001.parquet,0,1,10
nemotron_sft_v3/science_v2/syn_mcq,gs://marin-us-central2/normalized-chat/nemotron_sft_v3/science_v2/syn_mcq_3e1bf8fc,marin-us-central2/normalized-chat/nemotron_sft_v3/science_v2/syn_mcq_3e1bf8fc/outputs/main/part-00000-of-00001.parquet,0,1,10
nemotron_sft_v3/science_v2/vendor,gs://marin-us-central2/normalized-chat/nemotron_sft_v3/science_v2/vendor_78094970,marin-us-central2/normalized-chat/nemotron_sft_v3/science_v2/vendor_78094970/outputs/main/part-00023-of-00026.parquet,6,26,10
nemotron_sft_v3/swe_v1/r2e_gym,gs://marin-us-central2/normalized-chat/nemotron_sft_v3/swe_v1/r2e_gym_aba65f88,marin-us-central2/normalized-chat/nemotron_sft_v3/swe_v1/r2e_gym_aba65f88/outputs/main/part-00002-of-00004.parquet,8,4,10
nemotron_sft_v3/swe_v2/agentless,gs://marin-us-central2/normalized-chat/nemotron_sft_v3/swe_v2/agentless_2d65808e,marin-us-central2/normalized-chat/nemotron_sft_v3/swe_v2/agentless_2d65808e/outputs/main/part-00001-of-00005.parquet,11,5,10
nemotron_sft_v3/swe_v2/openhands_swe,gs://marin-us-central2/normalized-chat/nemotron_sft_v3/swe_v2/openhands_swe_e3522d0b,marin-us-central2/normalized-chat/nemotron_sft_v3/swe_v2/openhands_swe_e3522d0b/outputs/main/part-00003-of-00004.parquet,16,4,10
numinamath-1.5,gs://marin-us-central2/normalized-chat/numinamath-1.5_78c8b210,marin-us-central2/normalized-chat/numinamath-1.5_78c8b210/outputs/main/part-00000-of-00001.parquet,9,1,10
numinamath-tir,gs://marin-us-central2/normalized-chat/numinamath-tir_914afcec,marin-us-central2/normalized-chat/numinamath-tir_914afcec/outputs/main/part-00000-of-00001.parquet,2,1,10
open_swe_traces/v1_0/openhands/minimax_m25/swe_rebench_v2,gs://marin-us-central2/normalized-chat/open_swe_traces/v1_0/openhands/minimax_m25/swe_rebench_v2_f267f54d,marin-us-central2/normalized-chat/open_swe_traces/v1_0/openhands/minimax_m25/swe_rebench_v2_f267f54d/outputs/main/part-00002-of-00005.parquet,14,5,10
open_swe_traces/v1_0/openhands/qwen35_122b/swe_rebench_v2,gs://marin-us-central2/normalized-chat/open_swe_traces/v1_0/openhands/qwen35_122b/swe_rebench_v2_675401fc,marin-us-central2/normalized-chat/open_swe_traces/v1_0/openhands/qwen35_122b/swe_rebench_v2_675401fc/outputs/main/part-00002-of-00005.parquet,27,5,10
open_swe_traces/v1_0/sweagent/minimax_m25/swe_rebench_v2,gs://marin-us-central2/normalized-chat/open_swe_traces/v1_0/sweagent/minimax_m25/swe_rebench_v2_605bce17,marin-us-central2/normalized-chat/open_swe_traces/v1_0/sweagent/minimax_m25/swe_rebench_v2_605bce17/outputs/main/part-00000-of-00006.parquet,24,6,10
open_swe_traces/v1_0/sweagent/qwen35_122b/swe_rebench_v2,gs://marin-us-central2/normalized-chat/open_swe_traces/v1_0/sweagent/qwen35_122b/swe_rebench_v2_c916a642,marin-us-central2/normalized-chat/open_swe_traces/v1_0/sweagent/qwen35_122b/swe_rebench_v2_c916a642/outputs/main/part-00001-of-00003.parquet,30,3,10
open_swe_traces/v1_1/minisweagent/qwen36_27b/scale_swe,gs://marin-us-central2/normalized-chat/open_swe_traces/v1_1/minisweagent/qwen36_27b/scale_swe_c5c523fa,marin-us-central2/normalized-chat/open_swe_traces/v1_1/minisweagent/qwen36_27b/scale_swe_c5c523fa/outputs/main/part-00001-of-00002.parquet,20,2,10
open_swe_traces/v1_1/minisweagent/qwen36_27b/swe_rebench_v2,gs://marin-us-central2/normalized-chat/open_swe_traces/v1_1/minisweagent/qwen36_27b/swe_rebench_v2_30921290,marin-us-central2/normalized-chat/open_swe_traces/v1_1/minisweagent/qwen36_27b/swe_rebench_v2_30921290/outputs/main/part-00000-of-00003.parquet,26,3,10
open_swe_traces/v1_1/openhands/deepseek_v4_flash/scale_swe,gs://marin-us-central2/normalized-chat/open_swe_traces/v1_1/openhands/deepseek_v4_flash/scale_swe_a49a549b,marin-us-central2/normalized-chat/open_swe_traces/v1_1/openhands/deepseek_v4_flash/scale_swe_a49a549b/outputs/main/part-00001-of-00002.parquet,35,2,10
open_swe_traces/v1_1/openhands/qwen36_27b/scale_swe,gs://marin-us-central2/normalized-chat/open_swe_traces/v1_1/openhands/qwen36_27b/scale_swe_f3a115d3,marin-us-central2/normalized-chat/open_swe_traces/v1_1/openhands/qwen36_27b/scale_swe_f3a115d3/outputs/main/part-00001-of-00004.parquet,11,4,10
open_swe_traces/v1_1/openhands/qwen36_27b/swe_rebench_v2,gs://marin-us-central2/normalized-chat/open_swe_traces/v1_1/openhands/qwen36_27b/swe_rebench_v2_23ec0c8c,marin-us-central2/normalized-chat/open_swe_traces/v1_1/openhands/qwen36_27b/swe_rebench_v2_23ec0c8c/outputs/main/part-00002-of-00003.parquet,31,3,10
