[07:09:08] task=/calvinxu/starcoder-tpp10-refinement/0 attempt=0 |  + pyparsing==3.3.1
[07:09:08] task=/calvinxu/starcoder-tpp10-refinement/0 attempt=0 |  + seaborn==0.13.2
[07:09:08] task=/calvinxu/starcoder-tpp10-refinement/0 attempt=0 |  + semver==3.0.4
[07:09:08] task=/calvinxu/starcoder-tpp10-refinement/0 attempt=0 |  + sentry-sdk==2.49.0
[07:09:08] task=/calvinxu/starcoder-tpp10-refinement/0 attempt=0 |  + setuptools==83.0.0
[07:09:08] task=/calvinxu/starcoder-tpp10-refinement/0 attempt=0 |  + shellingham==1.5.4
[07:09:08] task=/calvinxu/starcoder-tpp10-refinement/0 attempt=0 |  + simplejson==3.20.2
[07:09:08] task=/calvinxu/starcoder-tpp10-refinement/0 attempt=0 |  + six==1.17.0
[07:09:08] task=/calvinxu/starcoder-tpp10-refinement/0 attempt=0 |  + smmap==5.0.2
[07:09:08] task=/calvinxu/starcoder-tpp10-refinement/0 attempt=0 |  + sniffio==1.3.1
[07:09:08] task=/calvinxu/starcoder-tpp10-refinement/0 attempt=0 |  + soupsieve==2.8.4
[07:09:08] task=/calvinxu/starcoder-tpp10-refinement/0 attempt=0 |  + sqlalchemy==2.0.46
[07:09:08] task=/calvinxu/starcoder-tpp10-refinement/0 attempt=0 |  + sse-starlette==3.1.2
[07:09:08] task=/calvinxu/starcoder-tpp10-refinement/0 attempt=0 |  + starlette==1.3.1
[07:09:08] task=/calvinxu/starcoder-tpp10-refinement/0 attempt=0 |  + substrait==0.24.2
[07:09:08] task=/calvinxu/starcoder-tpp10-refinement/0 attempt=0 |  + sympy==1.13.3
[07:09:08] task=/calvinxu/starcoder-tpp10-refinement/0 attempt=0 |  + tabulate==0.9.0
[07:09:08] task=/calvinxu/starcoder-tpp10-refinement/0 attempt=0 |  + tblib==3.2.2
[07:09:08] task=/calvinxu/starcoder-tpp10-refinement/0 attempt=0 |  + tensorstore==0.1.84
[07:09:08] task=/calvinxu/starcoder-tpp10-refinement/0 attempt=0 |  + threadpoolctl==3.6.0
[07:09:08] task=/calvinxu/starcoder-tpp10-refinement/0 attempt=0 |  + tokenizers==0.22.2
[07:09:08] task=/calvinxu/starcoder-tpp10-refinement/0 attempt=0 |  + toml==0.10.2
[07:09:08] task=/calvinxu/starcoder-tpp10-refinement/0 attempt=0 |  + toolz==1.1.0
[07:09:08] task=/calvinxu/starcoder-tpp10-refinement/0 attempt=0 |  + torch==2.11.0+cpu
[07:09:08] task=/calvinxu/starcoder-tpp10-refinement/0 attempt=0 |  + torchvision==0.26.0+cpu
[07:09:08] task=/calvinxu/starcoder-tpp10-refinement/0 attempt=0 |  + tqdm==4.67.1
[07:09:08] task=/calvinxu/starcoder-tpp10-refinement/0 attempt=0 |  + tqdm-loggable==0.2
[07:09:08] task=/calvinxu/starcoder-tpp10-refinement/0 attempt=0 |  + transformers==5.12.1
[07:09:08] task=/calvinxu/starcoder-tpp10-refinement/0 attempt=0 |  + treescope==0.1.10
[07:09:08] task=/calvinxu/starcoder-tpp10-refinement/0 attempt=0 |  + truststore==0.10.4
[07:09:08] task=/calvinxu/starcoder-tpp10-refinement/0 attempt=0 |  + typer==0.21.1
[07:09:08] task=/calvinxu/starcoder-tpp10-refinement/0 attempt=0 |  + typing-extensions==4.15.0
[07:09:08] task=/calvinxu/starcoder-tpp10-refinement/0 attempt=0 |  + typing-inspect==0.9.0
[07:09:08] task=/calvinxu/starcoder-tpp10-refinement/0 attempt=0 |  + typing-inspection==0.4.2
[07:09:08] task=/calvinxu/starcoder-tpp10-refinement/0 attempt=0 |  + tzdata==2025.3
[07:09:08] task=/calvinxu/starcoder-tpp10-refinement/0 attempt=0 |  + uritemplate==4.2.0
[07:09:08] task=/calvinxu/starcoder-tpp10-refinement/0 attempt=0 |  + urllib3==2.7.0
[07:09:08] task=/calvinxu/starcoder-tpp10-refinement/0 attempt=0 |  + uvicorn==0.40.0
[07:09:08] task=/calvinxu/starcoder-tpp10-refinement/0 attempt=0 |  + uvloop==0.22.1
[07:09:08] task=/calvinxu/starcoder-tpp10-refinement/0 attempt=0 |  + vortex-data==0.61.0
[07:09:08] task=/calvinxu/starcoder-tpp10-refinement/0 attempt=0 |  + wadler-lindig==0.1.7
[07:09:08] task=/calvinxu/starcoder-tpp10-refinement/0 attempt=0 |  + wandb==0.26.0
[07:09:08] task=/calvinxu/starcoder-tpp10-refinement/0 attempt=0 |  + watchdog==6.0.0
[07:09:08] task=/calvinxu/starcoder-tpp10-refinement/0 attempt=0 |  + watchfiles==1.1.1
[07:09:08] task=/calvinxu/starcoder-tpp10-refinement/0 attempt=0 |  + websocket-client==1.9.0
[07:09:08] task=/calvinxu/starcoder-tpp10-refinement/0 attempt=0 |  + websockets==15.0.1
[07:09:08] task=/calvinxu/starcoder-tpp10-refinement/0 attempt=0 |  + wrapt==1.17.3
[07:09:08] task=/calvinxu/starcoder-tpp10-refinement/0 attempt=0 |  + xxhash==3.6.0
[07:09:08] task=/calvinxu/starcoder-tpp10-refinement/0 attempt=0 |  + yarl==1.22.0
[07:09:08] task=/calvinxu/starcoder-tpp10-refinement/0 attempt=0 |  + zipp==3.23.0
[07:09:08] task=/calvinxu/starcoder-tpp10-refinement/0 attempt=0 |  + zstandard==0.25.0
[07:09:08] task=/calvinxu/starcoder-tpp10-refinement/0 attempt=0 | Resolved 14 packages in 95ms
[07:09:08] task=/calvinxu/starcoder-tpp10-refinement/0 attempt=0 | Installed 5 packages in 10ms
[07:09:08] task=/calvinxu/starcoder-tpp10-refinement/0 attempt=0 |  + linkify-it-py==2.2.0
[07:09:08] task=/calvinxu/starcoder-tpp10-refinement/0 attempt=0 |  + mdit-py-plugins==0.6.1
[07:09:08] task=/calvinxu/starcoder-tpp10-refinement/0 attempt=0 |  + memray==1.20.0
[07:09:08] task=/calvinxu/starcoder-tpp10-refinement/0 attempt=0 |  + py-spy==0.4.2
[07:09:08] task=/calvinxu/starcoder-tpp10-refinement/0 attempt=0 |  + textual==8.2.8
