JOB ID                                                           STATE    SUBMITTED                         REASON
/calvinxu/starcoder-tpp10-refinement/verified_training-31e7c5ce  pending  2026-09-11T07:11:28.420000+00:00  Pending scheduler feedback
/calvinxu/starcoder-tpp10-refinement/verified_training-dfa30856  pending  2026-09-11T07:11:28.127000+00:00  Pending scheduler feedback
/calvinxu/starcoder-tpp10-refinement/verified_training-824ba00f  pending  2026-09-11T07:11:27.577000+00:00  Pending scheduler feedback
/calvinxu/starcoder-tpp10-refinement/verified_training-8857c0fd  pending  2026-09-11T07:11:27.234000+00:00  Pending scheduler feedback
/calvinxu/starcoder-tpp10-refinement/verified_training-0530f635  pending  2026-09-11T07:11:26.838000+00:00  Pending scheduler feedback
/calvinxu/starcoder-tpp10-refinement/verified_training-282d53ae  pending  2026-09-11T07:11:26.445000+00:00  Pending scheduler feedback
/calvinxu/starcoder-tpp10-refinement/verified_training-082af850  pending  2026-09-11T07:11:26.037000+00:00  Pending scheduler feedback
/calvinxu/starcoder-tpp10-refinement/verified_training-87afbf59  pending  2026-09-11T07:11:25.582000+00:00  Pending scheduler feedback
/calvinxu/starcoder-tpp10-refinement/verified_training-3689a32f  pending  2026-09-11T07:11:25.039000+00:00  Pending scheduler feedback
/calvinxu/starcoder-tpp10-refinement/verified_training-5ebb6cc3  pending  2026-09-11T07:11:24.748000+00:00  Pending scheduler feedback
/calvinxu/starcoder-tpp10-refinement/verified_training-54836e19  pending  2026-09-11T07:11:24.490000+00:00  Pending scheduler feedback
/calvinxu/starcoder-tpp10-refinement/verified_training-9ae89296  pending  2026-09-11T07:11:24.336000+00:00  Pending scheduler feedback
/calvinxu/starcoder-tpp10-refinement/verified_training-16729990  pending  2026-09-11T07:11:23.497000+00:00  Pending scheduler feedback
/calvinxu/starcoder-tpp10-refinement/verified_training-02c57e63  pending  2026-09-11T07:11:22.989000+00:00  Pending scheduler feedback
/calvinxu/starcoder-tpp10-refinement/verified_training-3fb644de  pending  2026-09-11T07:11:22.455000+00:00  Pending scheduler feedback
/calvinxu/starcoder-tpp10-refinement/verified_training-209bec1e  pending  2026-09-11T07:11:22.015000+00:00  Pending scheduler feedback
/calvinxu/starcoder-tpp10-refinement/verified_training-82407a60  pending  2026-09-11T07:11:21.451000+00:00  Pending scheduler feedback
/calvinxu/starcoder-tpp10-refinement/verified_training-a76fbc50  pending  2026-09-11T07:11:21.210000+00:00  Pending scheduler feedback
/calvinxu/starcoder-tpp10-refinement/verified_training-fd93a3c5  pending  2026-09-11T07:11:20.684000+00:00  Pending scheduler feedback
/calvinxu/starcoder-tpp10-refinement/verified_training-2cd47e23  pending  2026-09-11T07:11:20.675000+00:00  Pending scheduler feedback
/calvinxu/starcoder-tpp10-refinement/verified_training-69dfe299  pending  2026-09-11T07:11:20.606000+00:00  Pending scheduler feedback
/calvinxu/starcoder-tpp10-refinement/verified_training-1ee23458  pending  2026-09-11T07:11:20.119000+00:00  Pending scheduler feedback
/calvinxu/starcoder-tpp10-refinement/verified_training-a2676db4  pending  2026-09-11T07:11:19.655000+00:00  Pending scheduler feedback
/calvinxu/starcoder-tpp10-refinement/verified_training-f8bfd776  pending  2026-09-11T07:11:18.451000+00:00  Pending scheduler feedback
/calvinxu/starcoder-tpp10-refinement/verified_training-3e23af81  pending  2026-09-11T07:11:17.680000+00:00  Pending scheduler feedback
/calvinxu/starcoder-tpp10-refinement/verified_training-394763fd  pending  2026-09-11T07:11:16.946000+00:00  Pending scheduler feedback
/calvinxu/starcoder-tpp10-refinement/verified_training-88ffc03d  pending  2026-09-11T07:11:16.635000+00:00  Pending scheduler feedback
/calvinxu/starcoder-tpp10-refinement                             running  2026-09-11T07:08:42.923000+00:00
